Order_ID,Date,Customer_ID,Product,Category,Quantity,Price
1001,2026-09-01,C001,Laptop Stand,Accessories,2,799
1002,2026-09-02,C002,Wireless Mouse,Accessories,3,599
1003,2026-09-02,C003,Keyboard,Accessories,1,1299
1004,2026-09-03,C004,USB-C Hub,Accessories,2,1499
1005,2026-09-04,C005,Webcam,Electronics,1,2199
1006,2026-09-05,C006,Headphone,Electronics,2,2499
1007,2026-09-06,C007,Power Bank,Electronics,3,1799
1008,2026-09-07,C008,Laptop Stand,Accessories,1,799
1009,2026-09-08,C009,Keyboard,Accessories,2,1299
1010,2026-09-09,C010,Wireless Mouse,Accessories,4,599
1011,2026-09-10,C011,Webcam,Electronics,1,2199
1012,2026-09-11,C012,Headphone,Electronics,2,2499
1013,2026-09-12,C013,USB-C Hub,Accessories,1,1499
1014,2026-09-13,C014,Power Bank,Electronics,2,1799
1015,2026-09-14,C015,Wireless Mouse,Accessories,3,599
